Symbol,FiscalDateEnding,TotalRevenue,GrossProfit,NetIncome,OperatingIncome,OperatingMargin,TotalAssets,TotalLiabilities,CommonStockSharesOutstanding,TotalShareholderEquity,BVPS,Debt_to_Equity,Date
RTX,2019-12-31,11705.0,2589.0,1143.0,882.0,7.535241349850491,139615.0,95289.0,867.0,41774.0,48.18,2.28,2025-12-30
RTX,2019-09-30,11393.0,2884.0,1148.0,1390.0,12.20047397524796,139009.0,96083.0,864.0,40468.0,46.84,2.37,2025-12-30
RTX,2019-06-30,11345.0,2791.0,1900.0,1284.0,11.31776112825033,138990.0,95904.0,864.0,40754.0,47.17,2.35,2025-12-30
RTX,2019-03-31,18369.0,4718.0,1346.0,2058.0,11.203658337416298,137380.0,95325.0,861.0,39738.0,46.15,2.4,2025-12-30
RTX,2018-12-31,18054.0,4342.0,686.0,1780.0,9.859310956020826,134211.0,93492.0,831.0,38446.0,46.26,2.43,2025-12-30
RTX,2018-09-30,16512.0,4002.0,1238.0,1746.0,10.574127906976743,114939.0,80564.0,802.0,32106.0,40.03,2.51,2025-12-30
RTX,2018-06-30,16704.0,4329.0,2048.0,2016.0,12.068965517241379,101569.0,68093.0,800.0,31364.0,39.2,2.17,2025-12-30
RTX,2018-03-31,15215.0,3974.0,1297.0,1739.0,11.429510351626684,98779.0,66152.0,800.0,30534.0,38.17,2.17,2025-12-30
RTX,2017-12-31,15655.0,3860.0,397.0,1510.0,9.645480677099968,96920.0,65368.0,798.0,29610.0,37.11,2.21,2025-12-30
RTX,2017-09-30,15038.0,3932.0,1330.0,1758.0,11.69038435962229,96352.0,64232.0,797.0,29881.0,37.49,2.15,2025-12-30
RTX,2017-06-30,15285.0,4121.0,1439.0,1912.0,12.508995747464835,94793.0,64232.0,798.0,28442.0,35.64,2.26,2025-12-30
RTX,2017-03-31,13820.0,3764.0,1386.0,1736.0,12.56150506512301,90373.0,60794.0,802.0,27594.0,34.41,2.2,2025-12-30
RTX,2016-12-31,14691.0,4045.0,1011.0,1576.0,10.727656388264924,89706.0,60241.0,810.0,27579.0,34.05,2.18,2025-12-30
RTX,2016-09-30,14386.0,4064.0,1484.0,2095.0,14.562769359099123,90062.0,58983.0,831.0,29187.0,35.12,2.02,2025-12-30
RTX,2016-06-30,14874.0,4133.0,1373.0,2337.0,15.711980637353772,89480.0,58518.0,833.0,29090.0,34.92,2.01,2025-12-30
RTX,2016-03-31,13357.0,3703.0,1191.0,1945.0,14.561653065808192,88571.0,58541.0,831.0,28353.0,34.12,2.06,2025-12-30
RTX,2015-12-31,14300.0,3647.0,3278.0,392.0,2.7412587412587412,87484.0,58518.0,850.0,27358.0,32.19,2.14,2025-12-30
RTX,2015-09-30,13788.0,3988.0,1362.0,2302.0,16.695677400638235,92135.0,59952.0,885.0,30525.0,34.49,1.96,2025-12-30
RTX,2015-06-30,16333.0,4508.0,1542.0,2552.0,15.624808669564686,92773.0,60701.0,889.0,30377.0,34.17,2.0,2025-12-30
RTX,2015-03-31,14541.0,4018.0,1426.0,2274.0,15.638539302661439,91327.0,61025.0,904.0,28650.0,31.69,2.13,2025-12-30
RTX,2014-12-31,16996.0,4636.0,1473.0,2570.0,15.121204989409273,91206.0,58502.0,907.0,31213.0,34.41,1.87,2025-12-30
RTX,2014-09-30,14613.0,4702.0,1854.0,2746.0,18.79148703209471,91774.0,56244.0,910.0,34049.0,37.42,1.65,2025-12-30
RTX,2014-06-30,17191.0,4260.0,1680.0,2355.0,13.699028561456576,92142.0,56803.0,915.0,33785.0,36.92,1.68,2025-12-30
RTX,2014-03-31,14745.0,4055.0,1213.0,2098.0,14.228552051542895,91229.0,57397.0,917.0,32317.0,35.24,1.78,2025-12-30
SHOP,2025-09-30,2844.0,1391.0,264.0,343.0,12.060478199718707,15024.339982,2528.0,1312.872709,12498.804277,9.52,0.2,2025-12-30
SHOP,2025-06-30,2680.0,1302.0,906.0,291.0,10.85820895522388,14593.401865,2442.422934,1308.993838,12150.97893,9.28,0.2,2025-12-30
SHOP,2025-03-31,2360.0,1169.0,-682.0,203.0,8.601694915254237,13400.0,2349.0,1295.377,11051.0,8.53,0.21,2025-12-30
SHOP,2024-12-31,2812.0,1352.0,1293.0,465.0,16.536273115220485,13924.0,2366.0,1294.58014,11558.0,8.93,0.2,2025-12-30
SHOP,2024-09-30,2162.0,1118.0,828.0,283.0,13.089731729879741,12329.0,2211.0,1301.601,10118.0,7.77,0.22,2025-12-30
SHOP,2024-06-30,2045.0,1045.0,171.0,241.0,11.78484107579462,11346.0,2174.0,1299.913,9172.0,7.06,0.24,2025-12-30
