Date,Open,High,Low,Close,Volume,Symbol,ma_10,ma_30,ma_50,ma_100,ma_200,RSI Options Rate,macd,MACD Signal,fi,fib_0%,fib_23.6%,fib_38.2%,fib_50%,fib_61.8%,fib_76.4%,fib_100%,fib_signal,SentimentScore,Fundamental_Weight,Monthly Return (%),combined_signal,final_trade,Buy Streak,Sell Streak,trade_value,Adj Close
2025-12-24,119.94,120.67,118.6,120.44,1.59,HOOD,119.49,122.69,128.37,124.19,95.52,32.45,-2.18,-1.84,-30.54,124.55,122.71,121.57,120.65,119.73,118.59,116.75,0,,,,8.16,HOLD,0,0,0,
2025-12-24,397.0,399.91,393.55,397.6,1.54,HUBS,386.1,378.46,407.93,440.72,509.32,62.11,-1.49,-6.32,57.19,403.0,399.09,396.67,394.71,392.75,390.33,386.42,-1,,,,10.08,HOLD,0,0,0,
2025-12-24,303.76,305.15,302.3,304.56,0.0,IBM,304.77,303.85,301.5,279.64,268.33,41.98,0.72,1.64,-0.48,306.86,304.84,303.6,302.59,301.58,300.34,298.32,1,,,,55.08,BUY,1,0,50,
2025-12-24,672.67,676.49,672.03,674.83,0.0,INTU,669.6,656.84,659.64,671.32,679.39,55.36,4.93,3.02,-8.18,679.26,676.23,674.35,672.83,671.31,669.43,666.4,1,,,,69.08,BUY,4,0,50,
2025-12-24,249.77,254.41,248.56,251.18,4.71,IT,246.39,235.43,238.07,242.55,325.59,78.98,4.47,2.38,90.13,253.7,251.93,250.83,249.94,249.05,247.95,246.18,1,,,,32.08,HOLD,0,0,0,
2025-12-24,144.33,145.31,143.82,145.31,2.46,LYV,141.23,136.24,141.51,151.58,145.01,62.35,0.99,-0.15,46.81,144.5,142.27,140.89,139.78,138.66,137.28,135.05,0,,,,23.88,HOLD,0,0,0,
2025-12-24,826.45,830.65,826.32,826.43,0.0,MCK,817.02,833.96,826.31,768.01,733.62,56.75,-2.8,-3.23,20.1,825.61,822.63,820.79,819.3,817.82,815.98,813.0,1,,,,78.64,BUY,1,0,50,
2025-12-24,662.53,668.18,662.2,667.55,0.4,META,656.73,637.53,658.04,703.73,671.1,53.39,4.08,1.19,4.73,673.58,669.58,667.11,665.12,663.12,660.65,656.65,1,,,,54.88,BUY,1,0,50,
2025-12-24,105.36,106.95,105.28,106.45,1.9,MRK,101.33,98.86,93.49,87.96,83.88,67.5,2.78,2.47,43.53,100.94,99.96,99.35,98.87,98.38,97.77,96.79,0,,,,78.64,BUY,13,0,50,
2025-12-24,87.25,87.77,86.1,86.49,1.2,MRVL,85.14,87.04,87.63,81.85,73.91,32.27,-0.67,-0.25,-3.13,88.05,87.16,86.61,86.17,85.73,85.18,84.29,-1,,,,26.08,HOLD,0,0,0,
2025-12-24,278.0,289.3,277.25,286.68,10.06,MU,254.91,241.31,232.93,189.36,144.17,71.9,12.09,8.39,80.91,264.75,254.59,248.3,243.22,238.14,231.85,221.69,0,,,,87.08,BUY,5,0,50,
2025-12-24,153.5,153.94,152.01,152.59,6.18,NOW,158.46,163.75,170.82,176.3,181.71,31.48,-4.58,-3.68,-28.53,157.16,155.85,155.05,154.4,153.74,152.94,151.63,0,,,,-33.92,SELL,0,8,-50,
2025-12-24,187.92,188.72,186.59,188.61,0.0,NVDA,179.75,182.03,185.84,182.64,158.71,56.08,-0.37,-1.72,34.9,189.33,184.84,182.06,179.82,177.58,174.8,170.31,0,,,,70.08,BUY,4,0,50,
2025-12-24,88.88,88.94,87.73,88.39,0.61,OKTA,89.68,85.17,86.3,88.99,97.0,57.42,1.31,1.12,12.82,91.93,91.09,90.57,90.16,89.74,89.22,88.39,0,,,,18.08,HOLD,0,0,0,
2025-12-24,195.0,198.28,194.42,197.49,5.15,ORCL,190.41,205.26,230.55,249.65,213.81,40.19,-10.09,-11.73,-68.34,198.8,197.24,196.27,195.5,194.72,193.75,192.19,-1,,,,-24.92,SELL,0,10,-50,
2025-12-24,187.38,187.84,184.79,187.22,0.34,PANW,187.61,192.09,201.12,197.63,192.34,36.76,-3.49,-3.87,80.42,190.52,188.79,187.72,186.86,185.99,184.92,183.19,-1,,,,-22.92,SELL,0,1,-50,
2025-12-24,193.24,195.17,192.83,194.17,0.0,PLTR,188.08,177.03,180.93,176.52,148.65,67.28,4.48,2.81,-8.41,198.88,197.19,196.15,195.31,194.46,193.42,191.74,1,,,,68.08,BUY,5,0,50,
2025-12-24,787.99,792.77,783.61,783.71,0.33,REGN,760.18,739.49,690.68,631.66,600.47,70.31,22.19,20.64,62.65,757.35,753.07,750.43,748.29,746.15,743.51,739.23,0,,,,72.64,BUY,10,0,50,
2025-12-24,213.7,215.16,213.13,213.2,13.83,RSG,213.47,213.44,213.61,221.47,232.04,45.69,-0.26,-0.34,25.6,216.72,215.41,214.61,213.96,213.3,212.5,211.19,-1,,,,-2.92,HOLD,0,3,0,
2025-12-24,185.69,187.1,185.5,186.38,0.0,RTX,181.34,175.39,174.34,166.31,151.15,79.77,3.35,2.19,32.53,188.0,185.3,183.62,182.27,180.92,179.24,176.54,0,,,,73.08,BUY,12,0,50,
2025-12-24,223.91,224.57,219.54,221.93,0.0,SNOW,220.82,237.6,246.38,232.89,209.33,37.77,-7.37,-7.9,-16.68,226.86,223.33,221.15,219.39,217.62,215.44,211.91,-1,,,,-14.92,HOLD,0,0,0,
2025-12-24,27.18,27.54,27.03,27.48,0.0,SOFI,26.76,27.55,28.15,26.95,20.94,38.63,-0.33,-0.38,-15.88,27.62,27.43,27.32,27.22,27.13,27.01,26.83,-1,,,,39.16,HOLD,0,0,0,
2025-12-24,10.96,11.02,10.76,10.9,2.0,SOUN,11.16,11.71,13.93,14.53,12.23,21.21,-0.69,-0.76,-28.62,11.52,11.36,11.25,11.17,11.08,10.98,10.81,0,,,,-46.92,SELL,0,10,-50,
2025-12-24,160.84,162.0,159.88,161.12,0.0,TEAM,162.0,155.53,157.83,161.86,185.05,58.39,1.98,1.64,-1.37,166.0,164.12,162.96,162.02,161.08,159.92,158.04,1,,,,,HOLD,0,0,0,
2025-12-24,36.45,36.65,36.04,36.49,0.0,TOST,35.98,35.06,35.96,38.34,39.32,57.82,0.28,0.01,-30.66,37.43,37.06,36.83,36.65,36.47,36.24,35.87,1,,,,16.6,HOLD,0,0,0,
2025-12-24,488.51,490.9,476.8,485.4,1.89,TSLA,476.26,441.53,443.34,411.87,354.83,62.15,15.1,12.05,4.02,498.83,491.04,486.22,482.33,478.44,473.62,465.83,1,,,,41.6,HOLD,5,0,0,
2025-12-24,37.4,38.14,37.17,38.12,2.59,TTD,37.11,39.03,43.26,48.1,57.49,40.75,-1.5,-1.84,60.36,38.0,37.71,37.54,37.4,37.25,37.08,36.79,-1,,,,-15.12,HOLD,0,40,0,
2025-12-24,567.0,575.11,566.95,571.23,1.65,UI,563.77,562.02,627.68,598.09,484.88,51.35,-10.97,-15.5,-14.0,580.49,576.83,574.57,572.74,570.92,568.66,565.0,-1,,,,35.08,HOLD,0,0,0,
2025-12-24,325.2,328.99,324.13,327.58,1.18,UNH,331.86,326.07,333.74,326.06,347.93,45.97,-0.47,-0.18,53.4,334.6,331.54,329.65,328.12,326.6,324.71,321.65,-1,,,,-4.36,HOLD,0,0,0,
